n,m,selectiveU,hedoU,miqpU,selectiveTime,hedonicTime,miqpTime
2,2,0.1894581738439362,0.0038267443523780664,0.19191030030640271,0.11,0.83,23.73
2,3,0.22074572311508608,0.05109947257252446,0.23674165041952647,0.04,0.61,24.47
2,4,0.2034950421550878,0.02210934929213534,0.2110755392998925,0.08,0.42,24.39
2,5,0.2101099717628997,0.027930107881908497,0.21892794157615347,0.14,0.54,24.76
2,6,0.23009179823946974,0.020730699217797684,0.23624843958700625,0.09,0.64,25.6
2,7,0.2020431807265876,-3.113806121880192E-4,0.20938335600295507,0.12,1.3,24.87
2,8,0.20889885347041595,0.017789550053023673,0.2140808198508757,0.12,1.91,26.18
2,9,0.20689800083017107,0.012269823363345192,0.2127957057481849,0.15,4.93,25.88
2,10,0.20638113653928974,0.006250247092336586,0.2096213248826775,0.17,8.69,26.31
2,11,0.2153700257365095,0.014243193449504483,0.21990426270843888,0.22,26.26,27.6
2,12,0.2139515904697451,0.0031402807008570873,0.21899560072161123,0.23,46.86,27.84
2,13,0.2080154161859081,0.004294196012744427,0.21128503796890702,0.26,138.37,28.56
2,14,0.21344047539267816,0.008425973581417388,0.2163756781969267,0.21,261.39,29.33
2,15,0.21052244364934636,0.009335988708734654,0.21375382565761827,0.49,739.04,29.73
2,16,0.2118043019760518,0.013519349400522667,0.21532588904071567,0.56,1424.69,31.1
2,17,0.20652965612415172,0.008637245304534916,0.20959957779157679,0.73,4549.73,44.84
2,18,0.2153865772045447,0.006213714849456476,0.21830732075979684,1.69,8140.78,42.36
2,19,0.2118562027669946,0.002301640899945222,0.21435768510232672,0.7,12552.14,37.29
2,20,0.20801876707835867,0.001241743829228219,0.21003154309172126,0.87,42651.53,38.29