n,m,behaviourU,otherU,behaviourTime,otherTime
2,4,0.018319844095808568,-0.10865325609377796,0.18,0.72
2,5,0.02236052970477624,-0.37622597033924654,0.08,0.48
2,6,0.00988998473491704,-0.13110721780544785,0.04,0.8
2,7,0.007274280914885311,-0.4103243731023421,0.1,0.56
2,8,9.03655825375983E-4,-0.18377794384199475,0.05,1.37
2,9,0.004420620284925547,-0.4329954644549337,0.07,1.27
2,10,0.0013842782201165527,-0.1919909102897439,0.14,3.26
2,11,0.0,-0.46193104718277367,0.03,2.24
2,12,0.0010463664967628884,-0.22408395822941496,0.05,7.15
2,13,0.001227368490538644,-0.44925989278146694,0.04,4.0
2,14,-3.057855495681336E-4,-0.24063002975053516,0.06,12.79
2,15,3.2764290862258625E-4,-0.46929878317618745,0.02,6.53
2,16,0.0,-0.2512143368702216,0.09,23.63
2,17,0.0,-0.4699186865917909,0.09,10.89
2,18,0.0,-0.2602245334813851,0.06,40.54
2,19,-2.47094627795223E-4,-0.4706648234616825,0.05,17.42
2,20,0.0,-0.26070259381815736,0.11,64.74
3,6,0.015417990261752015,-0.05832238647552813,0.03,0.69
3,7,0.022007928038740982,-0.42504418258380056,0.01,0.55
3,8,0.013459806121159606,-0.43193314525697374,0.03,1.01
3,9,0.0053395041670705945,-0.08811443928862475,0.05,2.43
3,10,0.010355749284422573,-0.44240866215591135,0.04,1.64
3,11,0.004188116263645939,-0.44131934931255506,0.04,3.54
3,12,0.0035997736522061408,-0.08458543460663984,0.06,9.57
3,13,0.003033109162506159,-0.46648709604074967,0.03,4.64
3,14,0.003081096158378519,-0.4469172100061872,0.05,9.5
3,15,0.004708118817348042,-0.10565639875899216,0.11,27.79
3,16,0.0019610942640613683,-0.48639399743629197,0.12,10.01
3,17,1.6898991467702241E-4,-0.4691776946823775,0.07,22.55
3,18,9.925534438698258E-4,-0.12884146208559655,0.18,66.83
3,19,2.2629401925936988E-4,-0.4815856992781819,0.15,21.8
3,20,0.0016514169794976518,-0.4734995820286756,0.12,40.71
3,21,0.0,-0.14744751843266116,0.2,129.79
3,22,4.3907590235015893E-4,-0.4856771468402983,0.21,37.17
3,23,6.339085916747167E-4,-0.47098617190576164,0.22,72.1
3,24,0.0,-0.151572774105571,0.24,254.09
3,25,0.0,-0.4862222049203963,0.21,65.7
3,26,0.0,-0.47780735309608496,0.27,112.62
3,27,0.0,-0.18220048093615707,0.34,449.93
3,28,0.0,-0.4950954467296561,0.29,96.48
3,29,0.0,-0.48529882232418353,0.38,183.33
3,30,0.0,-0.16661325796530377,0.41,743.72
4,8,0.009943753453258274,-0.016242514166144667,0.1,2.07
4,9,0.03942355434228408,-0.4400056101631721,0.06,1.31
4,10,0.01847237815106589,-0.443511990346308,0.07,2.08
4,11,0.0066206123181056275,-0.43365602884066407,0.03,3.81
4,12,0.001995457573357125,-0.03024677582712667,0.06,10.15
4,13,0.02791007143637426,-0.4569874697528018,0.05,4.33
4,14,0.016978271465682,-0.4486320645298887,0.11,7.91
4,15,0.003054520169264082,-0.46579512696057845,0.13,14.66
4,16,0.0034575727732577134,-0.05168425470307645,0.07,40.21
4,17,0.01232346380775695,-0.4585096001161307,0.1,14.09
4,18,0.004750841941173614,-0.47008586233495825,0.18,23.24
4,19,0.004314692828554332,-0.45952258687974384,0.22,36.75
4,20,5.784096336161577E-4,-0.046284949517154665,0.24,121.56
4,21,0.00653082841321687,-0.4734634494439262,0.14,35.14
4,22,0.00547760221183799,-0.4864600491974144,0.27,51.94
4,23,7.260347120641697E-4,-0.47735358263624783,0.28,87.63
4,24,6.845177226373122E-4,-0.07460988792844987,0.32,282.47
4,25,0.006467357642380286,-0.48634692899608667,0.27,60.63
4,26,0.001952888770314084,-0.4823581092535001,0.35,107.53
4,27,-5.378968348925147E-5,-0.47511422499133293,0.36,170.02
4,28,0.0,-0.06207863424918454,0.46,628.68
4,29,0.0028075032420463663,-0.4888592484592925,0.34,129.89
4,30,0.0023493332085168274,-0.48919821434455146,0.34,203.34
4,31,-2.9124760898481037E-5,-0.48719108349068185,0.47,313.06
4,32,0.0,-0.08356953961092359,0.63,1225.36
4,33,0.0014633430440266259,-0.4827054070018341,0.57,191.38
4,34,0.0,-0.4903282453049874,0.67,265.03
4,35,6.475373556933884E-4,-0.4879020793995748,0.69,495.89
4,36,0.0,-0.10263853749983057,0.77,2128.88
4,37,0.0,-0.4905258518968406,0.62,309.45
4,38,2.3135299039346525E-4,-0.48367342753890663,0.92,500.2
4,39,2.669799718100618E-4,-0.4839937187126818,0.69,928.56
4,40,0.0,-0.11812608018823921,1.0,3772.01
5,10,0.016317443101368276,0.027856815378075887,0.06,4.53
5,11,0.04618152867632856,-0.430013934763162,0.06,2.66
5,12,0.028357394051934773,-0.4542067795733299,0.09,3.99
5,13,0.022595599611265546,-0.4508747851146629,0.06,6.45
5,14,0.011452736826609033,-0.4484490762606565,0.09,9.63
5,15,0.0042671103694834145,0.0025642779871234917,0.08,29.17
5,16,0.028638748542529596,-0.47543032681194874,0.1,11.61
5,17,0.01889936343966931,-0.4565555519191468,0.09,16.34
5,18,0.010599186285920643,-0.4622832198190697,0.15,23.81
5,19,0.002391012829402822,-0.46332881897905087,0.17,35.04
5,20,0.0044216372042649036,0.008621226130308102,0.19,112.15
5,21,0.009686136018170035,-0.47841652356088565,0.17,35.27
5,22,0.012316245230790078,-0.4763522610845445,0.18,46.74
5,23,0.0055062347794425206,-0.47453671733857644,0.24,69.25
5,24,0.0026212305098242007,-0.4724203284047404,0.26,113.92
5,25,8.932610769724392E-4,-0.0024020454081247126,0.32,379.4
5,26,0.008834098071492692,-0.48167854934141474,0.23,70.01
5,27,0.0037335016379201136,-0.4791105818204271,0.25,103.28
5,28,0.004023478377827491,-0.48753687080130814,0.39,149.01
5,29,0.0019694822462332762,-0.47551097429995187,0.46,273.7
5,30,1.7384827964945783E-4,-0.02611276223040299,0.55,921.5
5,31,0.008155108467743019,-0.48479535125939216,0.44,161.81
5,32,0.0025918138299680813,-0.4839938945072142,0.46,200.06
5,33,0.002012205036472664,-0.4874523594671441,0.56,302.53
5,34,1.3200242283616158E-4,-0.48536292705396294,0.68,476.88
5,35,0.0,-0.028105692081795614,0.74,1993.1
5,36,0.0019298443614188532,-0.48965229915811415,0.63,274.48
5,37,0.004072181366152124,-0.48852657945724837,0.77,358.16
5,38,0.0011619730544046925,-0.4880769161867644,0.75,572.51
5,39,0.0016026515942645803,-0.4814647750296356,0.89,824.93
5,40,0.0,-0.05154373013991953,1.06,3624.7
5,41,0.0019710930739199107,-0.49017521634368955,0.8,410.64
5,42,5.753349832666865E-4,-0.48999511636766363,0.72,656.84
5,43,8.202127689897732E-4,-0.49253354573503677,1.13,908.15
5,44,4.689679235658839E-4,-0.48952072100184074,1.06,1489.27
5,45,0.0,-0.04873651912051414,1.36,6782.99
5,46,0.0019199692433571613,-0.49418494088910575,0.97,731.48
5,47,4.682391929037744E-5,-0.4934784612283842,1.15,911.11
5,48,4.8528662587854596E-4,-0.4916931486149862,1.35,1320.61
5,49,0.0,-0.49188041203444494,1.52,2177.72
5,50,0.0,-0.030096992376710846,1.73,12071.71
6,12,0.006543158018092449,0.036357283237369586,0.05,10.35
6,13,0.05792837740834371,-0.45729792266703606,0.07,5.34
6,14,0.04896201448480742,-0.4553348283939335,0.06,7.36
6,15,0.03774262090223526,-0.4664171540309075,0.07,9.74
6,16,0.01158950645075416,-0.46110954606055676,0.1,13.93
6,17,0.013061754099395428,-0.46148273767705583,0.15,21.4
6,18,0.003836107777590931,0.03956446366615313,0.09,67.51
6,19,0.03385630094619112,-0.4682720858908456,0.13,23.36
6,20,0.016710863673492286,-0.47536377402723856,0.13,27.52
6,21,0.023343132729476444,-0.47354699784390397,0.19,36.87
6,22,0.011506837368460754,-0.4733175867792945,0.29,60.96
6,23,0.004513107657459551,-0.4675643759608161,0.27,74.76
6,24,8.157833481745602E-4,0.02954792434561758,0.31,265.17
6,25,0.020280411418161906,-0.4823136855006812,0.19,70.84
6,26,0.017691745101213692,-0.47490431954996637,0.34,80.03
6,27,0.011667718213666557,-0.47809994264454003,0.37,107.3
6,28,0.0057896046834781415,-0.4810784743781531,0.34,159.98
6,29,0.0035744509177220653,-0.48315931543839985,0.51,250.29
6,30,0.0024924331651529994,0.03140527797928647,0.48,975.13
6,31,0.0121504590024345,-0.48163071597389995,0.41,158.25
6,32,0.005928365352340681,-0.483700801627337,0.42,171.19
6,33,0.006093918776384591,-0.4896355853181524,0.42,230.97
6,34,0.002201755043219614,-0.48736385806463034,0.53,389.96
6,35,0.0018311860547167436,-0.4830177334886929,0.7,486.3
6,36,4.531153022454182E-4,0.008300054025422996,0.8,2172.6
6,37,0.013328219163763597,-0.48827274026442924,0.64,280.04
6,38,0.00878289290799439,-0.48522893618903884,0.73,364.74
6,39,0.005831949657073399,-0.48678924776805543,0.73,443.4
6,40,0.0037610919449169913,-0.49142535242448765,0.88,717.35
6,41,3.281548928029332E-4,-0.48886719136612505,0.89,1037.99
6,42,6.988657906058293E-4,0.020712408623288107,1.08,5187.1
6,43,0.0034311774537673567,-0.49047214394111177,0.84,498.03
6,44,0.0034821256526382173,-0.48931407501447927,0.85,600.7
6,45,0.002702015151586835,-0.4896186461250872,1.06,930.53
6,46,0.0026059653923396196,-0.48907294999890455,1.13,1192.83
6,47,5.254398855030684E-4,-0.4868032237682874,1.3,1822.4
6,48,0.0,0.007822151345572643,1.54,9976.08
6,49,0.007484796354815632,-0.4924660086428049,1.14,815.22
6,50,9.618360087880306E-4,-0.493129245713293,1.21,1023.82
6,51,0.0011950884982112175,-0.4933475831912288,1.39,1415.9
6,52,5.511498995632779E-4,-0.49094921597210367,1.68,2046.49
6,53,3.287633692032865E-4,-0.4886274255693819,1.77,3284.16
6,54,0.0,0.0015784365738924302,1.95,17737.11
6,55,0.0020346818162848015,-0.49470820674767496,1.69,1327.63
6,56,0.001803065590451306,-0.4956275302819457,1.7,1531.14
6,57,0.0018785579043424738,-0.4939098503234856,1.85,2309.22
6,58,1.6292204508573384E-4,-0.4920437610382757,2.14,2949.22
6,59,9.145156482091022E-5,-0.4932097102611543,2.38,5150.55
6,60,0.0,-0.015979188212699794,2.52,30591.23
7,14,0.011775099495531882,0.0809145350713337,0.15,21.03
7,15,0.08206432809330375,-0.4640797524039031,0.06,8.64
7,16,0.06380977791893723,-0.4614794713380112,0.09,12.89
7,17,0.03656504630359334,-0.46609118647229514,0.17,14.93
7,18,0.04004235447856111,-0.46893487005985696,0.12,21.21
7,19,0.02103788450876368,-0.465027111954501,0.15,27.85
7,20,0.013587313343582319,-0.4682852311563092,0.18,42.96
7,21,0.00472644545094879,0.08513882629318335,0.18,144.96
7,22,0.04203317164932709,-0.47468808397083373,0.17,39.67
7,23,0.044614516123210456,-0.4823079736264793,0.2,43.13
7,24,0.02080001170212855,-0.48412709294324174,0.22,54.3
7,25,0.02092473375069126,-0.48241193319802117,0.19,80.12
7,26,0.01010426769662732,-0.4761589970497858,0.25,105.38
7,27,0.00819200603787299,-0.47289241208721117,0.35,155.54
7,28,9.129967688541884E-4,0.062636823003542,0.41,602.49
7,29,0.03597845220575931,-0.48366230787098685,0.33,114.78
7,30,0.02653474466640049,-0.4862077192200656,0.36,137.7
7,31,0.021496620523011906,-0.4831501243619955,0.47,175.13
7,32,0.014862892276181818,-0.48283990547581196,0.56,249.92
7,33,0.005189310494905373,-0.479033262505547,0.66,335.87
7,34,0.003059780191802629,-0.48651911692211575,0.62,462.28
7,35,7.945084481165221E-4,0.056964655688412386,0.7,2015.72
7,36,0.017493295349993936,-0.482607972801307,0.42,265.33
7,37,0.014802789659426831,-0.4864555252398253,0.57,303.93
7,38,0.010445739860336502,-0.48390789454696986,0.57,375.97
7,39,0.0054361588789448075,-0.4828179511026798,0.73,487.04
7,40,0.004518583283656685,-0.484339767282147,0.81,762.57
7,41,0.0016220674624185004,-0.4840473114837169,0.85,1059.67
7,42,0.0,0.046316514199868,1.05,4930.91
7,43,0.017922758486486196,-0.49050175924701184,0.72,480.72
7,44,0.01084628764288631,-0.49145904500028126,0.88,671.05
7,45,0.0062380443191525185,-0.4861759870112059,0.98,776.79
7,46,0.004587238876132992,-0.48869317122947353,1.06,958.41
7,47,0.0025278386522611064,-0.48988403853154183,1.15,1455.0
7,48,0.002622961750578351,-0.4866763150320701,1.21,2061.51
7,49,2.1604212978412198E-5,0.04071380754487444,1.47,10308.79
7,50,0.009266711655477195,-0.4918620784213491,1.02,977.18
7,51,0.007670047751106124,-0.49062601717254384,1.16,991.34
7,52,0.006304520713885046,-0.4940345631696207,1.31,1409.6
7,53,0.003393481660998924,-0.4924017950372594,1.49,1689.86
7,54,4.7833666335823975E-4,-0.48869037726756664,1.69,2505.41
7,55,0.0011971706552802264,-0.4903652931234836,1.71,3694.47
7,56,0.0,0.038650837167887475,1.99,20897.53
7,57,0.009604155237021827,-0.49379918065638473,1.36,1602.94
7,58,0.00638735948367711,-0.4895135463471331,1.71,1735.57
7,59,0.003431985807776822,-0.49321320051155504,1.84,2381.46
7,60,0.0026458939093197452,-0.4896180053351315,2.04,2669.06
7,61,2.082108922635917E-4,-0.49164006655026454,2.37,3828.1
7,62,0.0010161047521544142,-0.49000172995149976,2.38,6224.92
7,63,1.841777460333427E-5,0.04297914690110795,2.6,38561.22
7,64,0.003333160757967106,-0.49537550418238896,2.04,2332.91
7,65,0.003153869223001794,-0.49216825099363093,2.07,2745.58
7,66,0.0019678395881366816,-0.49324420651457396,2.53,3418.75
7,67,0.0021095976063076716,-0.4939093855264207,2.74,4236.78
7,68,0.002146341403567489,-0.49352613793058864,2.85,6331.08
7,69,0.001811314464194409,-0.49335388779710315,3.13,9945.54
7,70,0.0,0.03568413742532917,3.85,68866.92
8,16,0.01327599406137661,0.09351526911644699,0.11,38.7
8,17,0.10320793487232889,-0.46166711715979536,0.13,14.95
8,18,0.08120094737110614,-0.46218659830522163,0.09,17.99
8,19,0.062326841161736084,-0.47012872071296763,0.11,23.97
8,20,0.042528500271664826,-0.46803196468799685,0.18,31.66
8,21,0.036579023303429985,-0.46249135602204083,0.18,41.03
8,22,0.021629755261840734,-0.4737194473441521,0.22,54.24
8,23,0.011609970777711531,-0.4757511837695288,0.14,76.92
8,24,0.0035201112708071925,0.09012928087651124,0.23,271.38
8,25,0.04988023808738249,-0.4825422285427446,0.23,59.15
8,26,0.043484796802754556,-0.4765139959483102,0.29,69.97
8,27,0.03127546393985035,-0.4777765032964731,0.21,90.51
8,28,0.01849637729884592,-0.4798429993391852,0.31,110.74
8,29,0.023390360923927548,-0.48380432420099917,0.5,143.32
8,30,0.01676566827793213,-0.4858570527968577,0.38,198.69
8,31,0.006954124062284187,-0.481235277314758,0.33,283.16
8,32,0.005828280171662309,0.0782023037507989,0.42,1049.2
8,33,0.0345962118627221,-0.48722021771817386,0.36,195.75
8,34,0.03443197782920765,-0.4860504804342692,0.41,227.32
8,35,0.03675412695205906,-0.48088181285178627,0.5,254.38
8,36,0.017789478838846948,-0.4848520830512959,0.54,334.61
8,37,0.010562169645929584,-0.48441881790394775,0.59,397.07
8,38,0.008489375761831106,-0.4868359870669021,0.82,533.15
8,39,0.0042022683176586115,-0.48802607801026004,0.78,815.29
8,40,0.004143491918741641,0.09349226591175004,0.91,4020.35
8,41,0.0165369850008613,-0.48696534817169956,0.67,475.35
8,42,0.028171342677599524,-0.49097580090473075,0.78,504.64
8,43,0.017743202283152123,-0.48869219508550116,0.77,603.49
8,44,0.007057007955236937,-0.4897992963397816,0.84,750.41
8,45,0.005021623632723602,-0.4892617086198399,0.94,980.71
8,46,0.005775415164486596,-0.4901841015912599,1.06,1377.52
8,47,0.0015622522794687577,-0.4906855934321887,1.28,1905.51
8,48,2.2363732911519384E-4,0.08205647055262158,1.41,9403.33
8,49,0.02749926820897186,-0.4890806766937839,0.92,810.32
8,50,0.014512808456718318,-0.49023668547835814,1.07,922.81
8,51,0.011120452349985205,-0.4925251405818768,1.12,1080.26
8,52,0.010596083657290615,-0.49161828668184104,1.24,1304.37
8,53,0.0035781145034693928,-0.4912690387881184,1.42,1867.16
8,54,0.0024024249504505813,-0.49374171848602005,1.56,2599.6
8,55,1.0988092880137579E-4,-0.49093832475675264,1.72,3482.51
8,56,2.0247323124230164E-4,0.077709714778113,1.93,21492.11
8,57,0.019789637791248208,-0.49300649517548323,1.32,1465.27
8,58,0.01061130577197581,-0.49386130938875866,1.6,1710.62
8,59,0.008418882690337238,-0.49156492304074023,1.64,2092.17
8,60,0.009296595976566461,-0.49315316167297096,1.77,2653.87
8,61,0.005660104723959291,-0.4965622435071008,2.05,3235.78
8,62,0.005139986432966537,-0.49291481954708827,2.29,4307.19
8,63,0.0016375025148215338,-0.4917049282733633,2.26,5589.85
8,64,7.870336180294391E-4,0.08899206885564459,2.66,42592.15
8,65,0.00949676217006061,-0.4954993166904704,1.93,2650.05
8,66,0.008254262603260728,-0.49635491164785533,2.1,2849.46
8,67,0.004538894662338632,-0.4929694548172009,2.34,3016.97
8,68,0.00205459447071515,-0.4957165634477856,2.63,4646.72
8,69,0.002353313004569607,-0.4962547407031243,2.68,6104.1
8,70,0.0011436874778222783,-0.49444886741046656,2.86,7708.16
8,71,2.1393801746914188E-4,-0.4925950528915063,3.28,11309.89
8,72,0.0,0.07008554606436493,3.26,77818.68
8,73,0.010363949732351779,-0.49522755164571597,2.64,4222.77
8,74,0.00622097499393431,-0.4939889417241886,2.73,4695.38
8,75,0.003777945912542344,-0.49375026986988546,2.96,5152.19
8,76,0.0018986569610532477,-0.4940182074067648,3.34,6342.33
8,77,0.0020859714154175036,-0.4947408504066727,3.62,8243.42
8,78,8.471371875871858E-4,-0.49451692680133397,4.13,11838.15
8,79,3.3447420785898797E-4,-0.495052094507741,4.04,14677.73
8,80,0.0,0.06378157504099019,4.86,135716.52
9,18,0.007826120195852491,0.10744492910090728,0.16,64.92
9,19,0.11149331761580925,-0.46373050818002864,0.14,24.01
9,20,0.09546984450270621,-0.47391614895509176,0.11,29.03
9,21,0.07771460964724589,-0.46908658582131685,0.18,34.09
9,22,0.07752794685077884,-0.4728049498758084,0.13,42.96
9,23,0.05098956108731226,-0.4689956122558547,0.19,56.58
9,24,0.04564050604021529,-0.4789155443322326,0.17,69.12
9,25,0.00781832805185496,-0.4728778039435032,0.31,97.41
9,26,0.016716997743287765,-0.47318959310947856,0.33,118.67
9,27,0.003780870678152167,0.1087503501014441,0.36,474.25
9,28,0.0680451565849454,-0.47689659759620434,0.28,95.34
9,29,0.06838864659113171,-0.48116987660421445,0.27,122.41
9,30,0.04883911475041411,-0.4815803629963258,0.27,138.17
9,31,0.037430063046021964,-0.4846224031516961,0.37,158.02
9,32,0.03170726477257352,-0.48018289430437106,0.31,191.25
9,33,0.01890734206057931,-0.4783493740557558,0.49,251.96
9,34,0.011657279462385976,-0.481261830755031,0.47,327.76
9,35,0.007152795552416249,-0.47456920265350716,0.52,436.14
9,36,9.25589977661213E-4,0.11312028129205745,0.68,1972.27
9,37,0.05694274587850059,-0.4857508292464625,0.41,335.19
9,38,0.03835201291166126,-0.48744798444821624,0.55,356.83
9,39,0.03849757567998644,-0.4864601699737825,0.58,417.69
9,40,0.018081137317160746,-0.4882062886746306,0.71,459.69
9,41,0.015253178175248912,-0.4888259294299928,0.73,565.85
9,42,0.010019923465014733,-0.4841003810781757,0.75,738.86
9,43,0.010233745624947175,-0.48549222191997915,0.91,1017.54
9,44,0.0019183038775948435,-0.48851656808401905,1.0,1257.27
9,45,8.302751149554522E-4,0.10085360368129512,1.1,6456.87
9,46,0.044901340388858804,-0.490338907658218,0.79,669.24
9,47,0.0215405076221845,-0.4870591161228389,0.8,719.38
9,48,0.03260154569027872,-0.4876583472190095,0.93,970.08
9,49,0.019159564754409827,-0.49305451021640956,0.98,970.96
9,50,0.008023518058067931,-0.4908125132415082,1.19,1245.69
9,51,0.011997812518507322,-0.4937459030609418,1.2,1707.66
9,52,0.0069615710495380245,-0.48902277863121313,1.39,1854.08
9,53,0.0010906033951890127,-0.489116915898795,1.37,2939.45
9,54,0.002490047628840396,0.09634871881530016,1.67,16509.17
9,55,0.021034947903208548,-0.4919013870098378,1.21,1366.92
9,56,0.022033389670592252,-0.490867548801992,1.3,1539.53
9,57,0.02018111448040953,-0.4901558616246472,1.36,1582.7
9,58,0.013316379059304781,-0.49236789543579285,1.48,1973.44
9,59,0.014439549485241572,-0.4943241651718652,1.71,2288.46
9,60,0.005232705222114853,-0.4924361351543714,1.74,3426.27
9,61,0.00536137530834758,-0.4940704466937845,1.97,4190.85
9,62,0.0031916439722697552,-0.49086080897203915,2.08,4897.22
9,63,0.0,0.09824119693920087,2.28,38157.04
9,64,0.020207276417939575,-0.49393779031952545,1.68,2361.25
9,65,0.017683608592708715,-0.49221888159384714,1.76,2663.47
9,66,0.017847115237476206,-0.4912077150399604,1.89,3098.65
9,67,0.010914806375286589,-0.49368467332074517,2.07,3475.63
9,68,0.004140449692529002,-0.49582035629908683,2.31,4250.13
9,69,0.0013950794951321332,-0.494780046681241,2.57,4659.22
9,70,9.205476202237839E-4,-0.4946175176589371,2.8,7294.41
9,71,0.0012771486388917775,-0.49444449405548363,3.04,10005.23
9,72,4.038513138557853E-5,0.10106888927748617,3.36,74590.92
9,73,0.014045694961806654,-0.4957130807334699,2.52,4492.25
9,74,0.015794569962566275,-0.4946463995143634,2.35,4590.34
9,75,0.012336891082333212,-0.4953569007197059,2.63,4729.8
9,76,0.008090243876227421,-0.49539161076758426,2.9,5385.83
9,77,0.002143328619613434,-0.4936495757511362,3.13,6803.53
9,78,0.0023318771427481766,-0.4974247164291832,3.48,8210.14
9,79,0.0011379885967183723,-0.49526122051883065,3.7,11381.33
9,80,5.599244222083677E-4,-0.4948226002037363,4.15,15448.48
9,81,0.0,0.09728408266797572,4.5,136099.91
9,82,0.018737001084621247,-0.49814151704880727,2.94,6449.85
9,83,0.01369954879654636,-0.4957543572580919,3.34,7173.52
9,84,0.007960186996065677,-0.49699319786003654,3.48,7742.96
9,85,0.0013476797243015626,-0.49522634946268146,4.12,9290.54
9,86,8.501181292533799E-4,-0.49452866608117063,4.38,10113.21
9,87,0.0018142507826426513,-0.495995711165127,4.42,15221.09
9,88,0.0018561718900062796,-0.4955690405397207,4.82,17793.51
9,89,5.029285366225967E-4,-0.49562118681801004,5.69,24638.01
9,90,0.0,0.08821787754046656,5.87,250282.05
10,20,0.0035964585796032333,0.12970931759426674,0.22,110.37
10,21,0.12317329808006264,-0.4715277229151527,0.1,28.75
10,22,0.12750776925346977,-0.46550571266695023,0.16,40.71
10,23,0.10611600526401485,-0.47259307896265285,0.18,46.81
10,24,0.0924167948571751,-0.47208799971432613,0.16,56.29
10,25,0.06357378964025132,-0.4814531322198652,0.28,72.84
10,26,0.051788508998618976,-0.4749932537039669,0.21,83.68
10,27,0.03993229583831006,-0.47886768494562376,0.21,109.92
10,28,0.0159027266761172,-0.47017215518011896,0.26,140.72
10,29,0.008190201936963152,-0.48124958567598747,0.32,178.99
10,30,7.189824049583094E-4,0.10935671755873998,0.39,705.25
10,31,0.0869068229813175,-0.47899141584330285,0.3,134.76
10,32,0.07825430656224185,-0.48099677686460285,0.34,155.56
10,33,0.06337873856086391,-0.4814341770321493,0.37,187.48
10,34,0.05051047477311541,-0.48174807035376027,0.42,209.59
10,35,0.045499748664214336,-0.48373480297272436,0.43,252.44
10,36,0.03045261462142916,-0.4899901621628973,0.52,290.49
10,37,0.021527750325133307,-0.4847770015261559,0.53,416.79
10,38,0.010664187624565155,-0.4856370944278876,0.61,559.25
10,39,0.008759490352074458,-0.47985523876422265,0.65,730.8
10,40,0.002839835333553411,0.13702289764722636,0.72,3338.04
10,41,0.07239086885679662,-0.49064678863457567,0.54,467.93
10,42,0.05981221315592653,-0.4875571703134333,0.58,545.62
10,43,0.05131138901305001,-0.4878083001015819,0.69,550.7
10,44,0.03128713030790156,-0.4841671499411799,0.71,650.52
10,45,0.036472832857261675,-0.4889788473611094,0.84,729.16
10,46,0.016747365071363464,-0.4895329898254904,0.92,907.7
10,47,0.011117134523597414,-0.4877653153374827,1.08,1085.68
10,48,0.0050899498694152775,-0.49048681791953286,1.11,1556.39
10,49,2.479979286226164E-4,-0.49190510791308917,1.29,2040.67
10,50,0.0,0.13174191217218426,1.36,11118.81
10,51,0.050426409515634714,-0.4889297407412,0.89,1044.98
10,52,0.035931174021065174,-0.49026184598608447,0.97,1160.7
10,53,0.03584294782912225,-0.49462754488602784,1.12,1200.98
10,54,0.019696203093993205,-0.4911331073809923,1.18,1437.84
10,55,0.017249549443457548,-0.4901246077223966,1.41,1618.21
10,56,0.01713700057146024,-0.4903256390545924,1.45,1913.5
10,57,0.0083692071585411,-0.49276548338699055,1.55,2424.49
10,58,0.00926691745237398,-0.49239791598557003,1.63,3276.45
10,59,0.004789334906217822,-0.4914956576059493,1.8,4287.13
10,60,0.0018517210968517672,0.12403957167148219,1.88,27845.1
10,61,0.02135830261161609,-0.4950654015142486,1.43,2030.49
10,62,0.04198481010296206,-0.4928680663337514,1.3,2296.59
10,63,0.03027625472907308,-0.4923895578391237,1.61,2232.45
10,64,0.01777638789862749,-0.4934409625105121,1.71,2962.96
10,65,0.018260632675374984,-0.4947844568127629,1.8,3022.75
10,66,0.014053043410244935,-0.49169949204228586,2.06,4072.39
10,67,0.012093180965602515,-0.49326434835566735,2.05,5224.89
10,68,0.004370816832023831,-0.4927488571684415,2.4,6695.2
10,69,0.0030083126402936367,-0.49261795781191553,2.71,8571.6
10,70,0.0,0.11013038230248924,2.78,60417.05
10,71,0.02893177785767217,-0.4960975240334924,2.03,3798.03
10,72,0.02646353812719292,-0.49568908202083795,1.99,4190.72
10,73,0.022832862977670124,-0.4954869167142145,2.28,4090.5
10,74,0.015001804345862098,-0.4928965715719738,2.56,4619.89
10,75,0.007407204774926656,-0.4935745371053566,2.6,4924.95
10,76,0.004964730384808791,-0.49581588801216797,2.8,6679.61
10,77,0.004482098606639365,-0.4964362689304231,3.11,8523.97
10,78,0.003246998829244523,-0.49509976049171606,3.31,11713.84
10,79,0.002074098502236562,-0.4951415629629453,3.73,14589.32
10,80,2.791066600695902E-4,0.11795011311682145,3.85,121964.32
10,81,0.022978673269862967,-0.49383061069082884,2.62,6402.6
10,82,0.017687519533506956,-0.4963691769431243,2.85,6379.13
10,83,0.013861142534018924,-0.49484694082657377,3.23,7147.33
10,84,0.01745487610579766,-0.4950144652265906,3.49,7433.14
10,85,0.010059136254403666,-0.498283980465429,3.56,8798.74
10,86,0.006332229387876713,-0.49556630144566555,3.92,10636.86
10,87,0.002293347473875109,-0.4964473468309309,4.37,13012.13
10,88,0.0033407179728743262,-0.496611682182033,4.24,18779.33
10,89,7.775703265107558E-4,-0.49388867766349853,4.89,26388.34
10,90,8.513643625227063E-4,0.13026486001710447,5.63,241545.51
10,91,0.020856990691835987,-0.49655106304137425,3.82,9422.7
10,92,0.01740633663629152,-0.4957841513609002,3.8,10665.79
10,93,0.012879941498246188,-0.49644507307613833,4.12,10859.53
10,94,0.012255436170144834,-0.4977901611647732,4.57,12858.27
10,95,0.005766488622645672,-0.49583105552281453,4.55,13503.95
10,96,0.005349447473023259,-0.49687509459099916,5.2,17706.52
10,97,0.0035897248560116802,-0.49665197330561894,5.74,21422.74
10,98,9.68660557143497E-4,-0.4974837090550162,6.07,29946.37
10,99,4.5256764729036613E-4,-0.49630793598827283,6.85,37924.68
10,100,3.789068144613883E-5,0.11564901047595631,6.91,433496.77
